"Ensembl_ID","control_rep2","exp_rep3","exp_rep2","exp_rep1","control_rep1","control_rep3"
"ENSG00000236528.3",1,2,2,0,1,2
"ENSG00000182749.6",1210,1526,1367,1390,1437,1685
"ENSG00000117632.23",55402,69456,57700,61279,63182,78816
"ENSG00000158006.14",1317,1505,1824,1767,1622,1835
"ENSG00000158008.10",93,102,89,90,96,129
"ENSG00000158014.15",74,101,54,53,80,122
"ENSG00000158022.7",54,54,28,18,39,55
"ENSG00000175087.10",993,1114,1246,1402,1260,1408
"ENSG00000197245.6",14,17,5,11,12,14
"ENSG00000282872.2",34,33,14,19,34,37
"ENSG00000236782.8",26,22,33,18,29,25
"ENSG00000142675.18",910,1193,1143,1085,1067,1394
"ENSG00000188782.9",2,0,4,0,4,0
"ENSG00000293494.2",39,54,41,36,45,67
"ENSG00000278572.1",1,3,3,0,1,2
"ENSG00000130695.16",2429,2622,2865,2533,3038,3642
"ENSG00000270733.1",4,4,2,1,0,4
"ENSG00000142669.15",5512,7861,5732,6218,6355,8038
"ENSG00000158062.21",872,1132,868,884,933,1295
"ENSG00000169442.9",7,6,10,15,8,11
"ENSG00000176092.17",2588,3276,3696,3895,2733,3517
"ENSG00000225854.2",2,1,3,2,0,1
"ENSG00000176083.18",0,0,2,3,3,2
"ENSG00000131914.11",90010,110437,110637,117230,100316,119989
"ENSG00000117682.18",2348,2744,2615,2576,2554,3196
"ENSG00000223583.1",5,0,1,6,1,5
"ENSG00000225891.2",1,2,2,6,5,2
"ENSG00000198830.12",16166,21929,18132,19304,17261,23084
"ENSG00000117676.14",4849,6130,5932,5783,5152,6816
"ENSG00000260063.1",25,31,29,32,21,37
"ENSG00000117713.21",11407,12556,14329,12955,13453,15948
"ENSG00000060642.12",773,887,1024,917,885,1072
"ENSG00000204160.12",2745,3361,3169,3232,3022,3593
"ENSG00000175793.12",114,157,150,158,104,131
"ENSG00000142751.15",1647,2071,2056,1991,2030,2402
"ENSG00000289554.1",35,38,65,59,65,59
"ENSG00000198746.13",1254,1506,1419,1346,1275,1589
"ENSG00000090273.14",12614,17025,13361,14107,14849,18876
"ENSG00000131910.5",83,103,73,72,82,96
"ENSG00000175707.10",1022,1224,1310,1231,1140,1476
"ENSG00000172746.6",3,4,3,3,3,1
